name,description
mumble,"A voice chat application"
spotify,"An online music player"
telegram,"A cloud-based instant messenger"
skype,"An application for online calling"
teamviewer,"An application for remotely connecting to another computer"
icloud,"Apple's cloud-syncing application"
flashplayeractivex,"An Internet Explorer/Edge add-on that allows one to view Flash animations and videos"
flashplayerppapi,"Chrome/Chromium's implementation of the Adobe Flash Player Plugin"
uplay,"The Ubisoft game launcher"
